名称,种类,口味
烤鱼,其他,酸甜辣咸
桃酥,其他,甜
纸杯蛋糕,其他,甜
蟹黄拌面,面,咸
佛跳墙,其他,
水煮白菜,其他,
德克士鸡肉卷,其他,
番茄牛腩面,面,酸
馓子,其他,咸
羊肉粉,其他,
甘肃面皮,其他,酸辣
冒菜,其他,酸甜辣咸
西冷牛排,其他,
韩式辛拉面,其他,酸甜辣咸
火鸡面,面,辣
